Unnamed: 0,question,question_number,result_rank,excerpt,filename,model_chunk_index,model_chapter_number,model_chapter_title,model_chunk_in_chapter_index,all_model_chunks,model_filename,excerpt_cleaned,expected_all_chunk_indices,expected_book_filename,correct_match
21,How is Glinda's appearance described when Dorothy meets her?,8,1,"“She was both beautiful and young to their eyes. Her hair was a rich red in color and fell in flowing ringlets over her shoulders. Her dress was pure white but her eyes were blue, and they looked kindly upon the little girl. “What can I do for you, my child?” she asked. Dorothy told the Witch all her story: how the cyclone had brought her to the Land of Oz, how she had found her companions, and of the wonderful adventures they had met with. “My greatest wish now,” she added, “is to get back to Kansas, for Aunt Em will surely think something dreadful has happened to me, and that will make her put on mourning; and unless the crops are better this year than they were last, I am sure Uncle Henry cannot afford it.” Glinda leaned forward and kissed the sweet, upturned face of the loving little girl. “Bless your dear heart,” she said, “I am sure I can tell you of a way to get back to Kansas.” Then she added, “But, if I do, you must give me the Golden Cap.” “Willingly!” exclaimed Dorothy; “indeed, it is of no use to me now, and when you have it you can command the Winged Monkeys three times.” “And I think I shall need their service just those three times,” answered Glinda, smiling. Dorothy then gave her the Golden Cap, and the Witch said to the Scarecrow, “What will you do when Dorothy has left us?””",book1_the_wonderful_wizard_of_oz_pg55_images,247.0,23.0,Glinda The Good Witch Grants Dorothy’s Wish,0.0,"[247, 248, 249]",the_wonderful_wizard_of_oz,she was both beautiful and young to their eyes. her hair was a rich red in color and fell in flowing ringlets over her shoulders. her dress was pure white but her eyes were blue and they looked kindly upon the little girl. what can i do for you my child? she asked. dorothy told the witch all her story: how the cyclone had brought her to the land of oz how she had found her companions and of the wonderful adventures they had met with. my greatest wish now she added is to get back to kansas for aunt em will surely think something dreadful has happened to me and that will make her put on mourning; and unless the crops are better this year than they were last i am sure uncle henry cannot afford it. glinda leaned forward and kissed the sweet upturned face of the loving little girl. bless your dear heart she said i am sure i can tell you of a way to get back to kansas. then she added but if i do you must give me the golden cap. willingly! exclaimed dorothy; indeed it is of no use to me now and when you have it you can command the winged monkeys three times. and i think i shall need their service just those three times answered glinda smiling. dorothy then gave her the golden cap and the witch said to the scarecrow what will you do when dorothy has left us?,[247],the_wonderful_wizard_of_oz,True
22,How is Glinda's appearance described when Dorothy meets her?,8,2,"““How far is it to the Castle of Glinda?” asked the child. “It is not a great way,” answered the farmer’s wife. “Take the road to the South and you will soon reach it.” Thanking the good woman, they started afresh and walked by the fields and across the pretty bridges until they saw before them a very beautiful Castle. Before the gates were three young girls, dressed in handsome red uniforms trimmed with gold braid; and as Dorothy approached, one of them said to her: “Why have you come to the South Country?” “To see the Good Witch who rules here,” she answered. “Will you take me to her?” “Let me have your name, and I will ask Glinda if she will receive you.” They told who they were, and the girl soldier went into the Castle. After a few moments she came back to say that Dorothy and the others were to be admitted at once. Before they went to see Glinda, however, they were taken to a room of the Castle, where Dorothy washed her face and combed her hair, and the Lion shook the dust out of his mane, and the Scarecrow patted himself into his best shape, and the Woodman polished his tin and oiled his joints. When they were all quite presentable they followed the soldier girl into a big room where the Witch Glinda sat upon a throne of rubies. She was both beautiful and young to their eyes. Her hair was a rich red in color and fell in flowing ringlets over her shoulders. Her dress was pure white but her eyes were blue, and they looked kindly upon the little girl.”",book1_the_wonderful_wizard_of_oz_pg55_images,245.0,22.0,The Country Of The Quadlings,5.0,"[245, 246, 247]",the_wonderful_wizard_of_oz,how far is it to the castle of glinda? asked the child. it is not a great way answered the farmers wife. take the road to the south and you will soon reach it. thanking the good woman they started afresh and walked by the fields and across the pretty bridges until they saw before them a very beautiful castle. before the gates were three young girls dressed in handsome red uniforms trimmed with gold braid; and as dorothy approached one of them said to her: why have you come to the south country? to see the good witch who rules here she answered. will you take me to her? let me have your name and i will ask glinda if she will receive you. they told who they were and the girl soldier went into the castle. after a few moments she came back to say that dorothy and the others were to be admitted at once. before they went to see glinda however they were taken to a room of the castle where dorothy washed her face and combed her hair and the lion shook the dust out of his mane and the scarecrow patted himself into his best shape and the woodman polished his tin and oiled his joints. when they were all quite presentable they followed the soldier girl into a big room where the witch glinda sat upon a throne of rubies. she was both beautiful and young to their eyes. her hair was a rich red in color and fell in flowing ringlets over her shoulders. her dress was pure white but her eyes were blue and they looked kindly upon the little girl.,[247],the_wonderful_wizard_of_oz,True
23,How is Glinda's appearance described when Dorothy meets her?,8,1,"“She was both beautiful and young to their eyes. Her hair was a rich red in color and fell in flowing ringlets over her shoulders. Her dress was pure white but her eyes were blue, and they looked kindly upon the little girl. “What can I do for you, my child?” she asked. Dorothy told the Witch all her story: how the cyclone had brought her to the Land of Oz, how she had found her companions, and of the wonderful adventures they had met with. “My greatest wish now,” she added, “is to get back to Kansas, for Aunt Em will surely think something dreadful has happened to me, and that will make her put on mourning; and unless the crops are better this year than they were last, I am sure Uncle Henry cannot afford it.” Glinda leaned forward and kissed the sweet, upturned face of the loving little girl. “Bless your dear heart,” she said, “I am sure I can tell you of a way to get back to Kansas.” Then she added, “But, if I do, you must give me the Golden Cap.” “Willingly!” exclaimed Dorothy; “indeed, it is of no use to me now, and when you have it you can command the Winged Monkeys three times.” “And I think I shall need their service just those three times,” answered Glinda, smiling. Dorothy then gave her the Golden Cap, and the Witch said to the Scarecrow, “What will you do when Dorothy has left us?””",book1_the_wonderful_wizard_of_oz_pg55_images,247.0,23.0,Glinda The Good Witch Grants Dorothy’s Wish,0.0,"[247, 248, 249]",the_wonderful_wizard_of_oz,she was both beautiful and young to their eyes. her hair was a rich red in color and fell in flowing ringlets over her shoulders. her dress was pure white but her eyes were blue and they looked kindly upon the little girl. what can i do for you my child? she asked. dorothy told the witch all her story: how the cyclone had brought her to the land of oz how she had found her companions and of the wonderful adventures they had met with. my greatest wish now she added is to get back to kansas for aunt em will surely think something dreadful has happened to me and that will make her put on mourning; and unless the crops are better this year than they were last i am sure uncle henry cannot afford it. glinda leaned forward and kissed the sweet upturned face of the loving little girl. bless your dear heart she said i am sure i can tell you of a way to get back to kansas. then she added but if i do you must give me the golden cap. willingly! exclaimed dorothy; indeed it is of no use to me now and when you have it you can command the winged monkeys three times. and i think i shall need their service just those three times answered glinda smiling. dorothy then gave her the golden cap and the witch said to the scarecrow what will you do when dorothy has left us?,[247],the_wonderful_wizard_of_oz,True
24,What is Jack Pumpkinhead made of?,9,1,"“The body of this remarkable person was made of wood, branches of trees of various sizes having been used for the purpose. This wooden framework was covered by a red shirt—with white spots in it—blue trousers, a yellow vest, a jacket of green-and-gold and stout leather shoes. The neck was a sharpened stick on which the pumpkin head was set, and the eyes, ears, nose and mouth were carved on the skin of the pumpkin, very like a child's jack-o'-lantern. The house of this interesting creation stood in the center of a vast pumpkin-field, where the vines grew in profusion and bore pumpkins of extraordinary size as well as those which were smaller. Some of the pumpkins now ripening on the vines were almost as large as Jack's house, and he told Dorothy he intended to add another pumpkin to his mansion. The travelers were cordially welcomed to this quaint domicile and invited to pass the night there, which they had planned to do. The Patchwork Girl was greatly interested in Jack and examined him admiringly.”",book7_the_patchwork_girl_of_oz_pg32094_images,269.0,19.0,Trouble With The Tottenhots,1.0,"[269, 270]",the_patchwork_girl_of_oz,the body of this remarkable person was made of wood branches of trees of various sizes having been used for the purpose. this wooden framework was covered by a red shirt with white spots in it blue trousers a yellow vest a jacket of green and gold and stout leather shoes. the neck was a sharpened stick on which the pumpkin head was set and the eyes ears nose and mouth were carved on the skin of the pumpkin very like a childs jack o lantern. the house of this interesting creation stood in the center of a vast pumpkin field where the vines grew in profusion and bore pumpkins of extraordinary size as well as those which were smaller. some of the pumpkins now ripening on the vines were almost as large as jacks house and he told dorothy he intended to add another pumpkin to his mansion. the travelers were cordially welcomed to this quaint domicile and invited to pass the night there which they had planned to do. the patchwork girl was greatly interested in jack and examined him admiringly.,[5],the_marvelous_land_of_oz,False
25,What is Jack Pumpkinhead made of?,9,2,"“Jack's wooden arms and legs had been skillfully carved from strong saplings. His body, made of a tough piece of bark, was pinned together with wooden pegs. A larger peg served Jack for a neck and a carved pumpkin made his head. With some old clothes he found in Mombi's attic, Tip had dressed the queer figure and stood him in the bend of the road to scare the old witch on her return from a visit to the crooked wizard's. ""Well, was Mombi scared?"" inquired Peter, looking admiringly at Jack's jointed wrists and ankles and thinking what a smart boy Ozma must have been. ""At first,"" admitted Jack slowly. ""At first! Then, wishing to try out some of the magic she had traded with the wizard she sprinkled me with the powder of life and immediately I came to life and have been alive ever since,"" he finished modestly.”",book23_jack_pumpkinhead.,13.0,1.0,Peter And The Pirate's Sack,11.0,"[13, 14]",jack_pumpkinhead_of_oz,jacks wooden arms and legs had been skillfully carved from strong saplings. his body made of a tough piece of bark was pinned together with wooden pegs. a larger peg served jack for a neck and a carved pumpkin made his head. with some old clothes he found in mombis attic tip had dressed the queer figure and stood him in the bend of the road to scare the old witch on her return from a visit to the crooked wizards. well was mombi scared? inquired peter looking admiringly at jacks jointed wrists and ankles and thinking what a smart boy ozma must have been. at first admitted jack slowly. at first! then wishing to try out some of the magic she had traded with the wizard she sprinkled me with the powder of life and immediately i came to life and have been alive ever since he finished modestly.,[5],the_marvelous_land_of_oz,False
26,What is Jack Pumpkinhead made of?,9,3,"“Now she received a joyful welcome, although no one except Ozma knew at first that she had finally come to stay for good and all. That evening Dorothy had many callers, and among them were such important people as Tiktok, a machine man who thought and spoke and moved by clockwork; her old companion the genial Shaggy Man; Jack Pumpkinhead, whose body was brush-wood and whose head was a ripe pumpkin with a face carved upon it; the Cowardly Lion and the Hungry Tiger, two great beasts from the forest, who served Princess Ozma, and Professor H. M. Wogglebug, T. E. This wogglebug was a remarkable creature. He had once been a tiny little bug, crawling around in a school-room, but he was discovered and highly magnified so that he could be seen more plainly, and while in this magnified condition he had escaped. He had always remained big, and he dressed like a dandy and was so full of knowledge and information (which are distinct acquirements), that he had been made a Professor and the head of the Royal College.”",book6_the_emerald_city_of_oz_pg41667_images,52.0,5.0,How Dorothy Became A Princess,4.0,"[52, 53]",the_emerald_city_of_oz,now she received a joyful welcome although no one except ozma knew at first that she had finally come to stay for good and all. that evening dorothy had many callers and among them were such important people as tiktok a machine man who thought and spoke and moved by clockwork; her old companion the genial shaggy man; jack pumpkinhead whose body was brush wood and whose head was a ripe pumpkin with a face carved upon it; the cowardly lion and the hungry tiger two great beasts from the forest who served princess ozma and professor h. m. wogglebug t. e. this wogglebug was a remarkable creature. he had once been a tiny little bug crawling around in a school room but he was discovered and highly magnified so that he could be seen more plainly and while in this magnified condition he had escaped. he had always remained big and he dressed like a dandy and was so full of knowledge and information (which are distinct acquirements) that he had been made a professor and the head of the royal college.,[5],the_marvelous_land_of_oz,False
27,How does one use the Powder of Life?,10,1,"“However, old Mombi returned earlier than usual. She had met a crooked wizard who resided in a lonely cave in the mountains, and had traded several important secrets of magic with him. Having in this way secured three new recipes, four magical powders and a selection of herbs of wonderful power and potency, she hobbled home as fast as she could, in order to test her new sorceries. So intent was Mombi on the treasures she had gained that when she turned the bend in the road and caught a glimpse of the man, she merely nodded and said: “Good evening, sir.” But, a moment after, noting that the person did not move or reply, she cast a shrewd glance into his face and discovered his pumpkin head elaborately carved by Tip’s jack-knife. “Heh!” ejaculated Mombi, giving a sort of grunt; “that rascally boy has been playing tricks again! Very good! ve—ry good! I’ll beat him black-and-blue for trying to scare me in this fashion!” Angrily she raised her stick to smash in the grinning pumpkin head of the dummy; but a sudden thought made her pause, the uplifted stick left motionless in the air. “Why, here is a good chance to try my new powder!” said she, eagerly. “And then I can tell whether that crooked wizard has fairly traded secrets, or whether he has fooled me as wickedly as I fooled him.” So she set down her basket and began fumbling in it for one of the precious powders she had obtained. While Mombi was thus occupied Tip strolled back, with his pockets full of nuts, and discovered the old woman standing beside his man and apparently not the least bit frightened by it. At first he was generally disappointed; but the next moment he became curious to know what Mombi was going to do. So he hid behind a hedge, where he could see without being seen, and prepared to watch. After some search the woman drew from her basket an old pepper-box, upon the faded label of which the wizard had written with a lead-pencil: “Powder of Life.” “Ah—here it is!” she cried, joyfully. “And now let us see if it is potent. The stingy wizard didn’t give me much of it, but I guess there’s enough for two or three doses.” Tip was much surprised when he overheard this speech. Then he saw old Mombi raise her arm and sprinkle the powder from the box over the pumpkin head of his man Jack. She did this in the same way one would pepper a baked potato, and the powder sifted down from Jack’s head and scattered over the red shirt and pink waistcoat and purple trousers Tip had dressed him in, and a portion even fell upon the patched and worn shoes. Then, putting the pepper-box back into the basket, Mombi lifted her left hand, with its little finger pointed upward, and said: “Weaugh!” Then she lifted her right hand, with the thumb pointed upward, and said: “Teaugh!” Then she lifted both hands, with all the fingers and thumbs spread out, and cried: “Peaugh!” Jack Pumpkinhead stepped back a pace, at this, and said in a reproachful voice: “Don’t yell like that! Do you think I’m deaf?” Old Mombi danced around him, frantic with delight. “He lives!” she screamed: “He lives! he lives!” Then she threw her stick into the air and caught it as it came down; and she hugged herself with both arms, and tried to do a step of a jig; and all the time she repeated, rapturously: “He lives!—he lives!—he lives!” Now you may well suppose that Tip observed all this with amazement. At first he was so frightened and horrified that he wanted to run away, but his legs trembled and shook so badly that he couldn’t. Then it struck him as a very funny thing for Jack to come to life, especially as the expression on his pumpkin face was so droll and comical it excited laughter on the instant. So, recovering from his first fear, Tip began to laugh; and the merry peals reached old Mombi’s ears and made her hobble quickly to the hedge, where she seized Tip’s collar and dragged him back to where she had left her basket and the pumpkinheaded man.”",book2_the_marvelous_land_of_oz_pg54_images,10.0,2.0,The Marvelous Powder Of Life,1.0,"[10, 11, 12, 13, 14]",the_marvelous_land_of_oz,however old mombi returned earlier than usual. she had met a crooked wizard who resided in a lonely cave in the mountains and had traded several important secrets of magic with him. having in this way secured three new recipes four magical powders and a selection of herbs of wonderful power and potency she hobbled home as fast as she could in order to test her new sorceries. so intent was mombi on the treasures she had gained that when she turned the bend in the road and caught a glimpse of the man she merely nodded and said: good evening sir. but a moment after noting that the person did not move or reply she cast a shrewd glance into his face and discovered his pumpkin head elaborately carved by tips jack knife. heh! ejaculated mombi giving a sort of grunt; that rascally boy has been playing tricks again! very good! ve ry good! ill beat him black and blue for trying to scare me in this fashion! angrily she raised her stick to smash in the grinning pumpkin head of the dummy; but a sudden thought made her pause the uplifted stick left motionless in the air. why here is a good chance to try my new powder! said she eagerly. and then i can tell whether that crooked wizard has fairly traded secrets or whether he has fooled me as wickedly as i fooled him. so she set down her basket and began fumbling in it for one of the precious powders she had obtained. while mombi was thus occupied tip strolled back with his pockets full of nuts and discovered the old woman standing beside his man and apparently not the least bit frightened by it. at first he was generally disappointed; but the next moment he became curious to know what mombi was going to do. so he hid behind a hedge where he could see without being seen and prepared to watch. after some search the woman drew from her basket an old pepper box upon the faded label of which the wizard had written with a lead pencil: powder of life. ah here it is! she cried joyfully. and now let us see if it is potent. the stingy wizard didnt give me much of it but i guess theres enough for two or three doses. tip was much surprised when he overheard this speech. then he saw old mombi raise her arm and sprinkle the powder from the box over the pumpkin head of his man jack. she did this in the same way one would pepper a baked potato and the powder sifted down from jacks head and scattered over the red shirt and pink waistcoat and purple trousers tip had dressed him in and a portion even fell upon the patched and worn shoes. then putting the pepper box back into the basket mombi lifted her left hand with its little finger pointed upward and said: weaugh! then she lifted her right hand with the thumb pointed upward and said: teaugh! then she lifted both hands with all the fingers and thumbs spread out and cried: peaugh! jack pumpkinhead stepped back a pace at this and said in a reproachful voice: dont yell like that! do you think im deaf? old mombi danced around him frantic with delight. he lives! she screamed: he lives! he lives! then she threw her stick into the air and caught it as it came down; and she hugged herself with both arms and tried to do a step of a jig; and all the time she repeated rapturously: he lives! he lives! he lives! now you may well suppose that tip observed all this with amazement. at first he was so frightened and horrified that he wanted to run away but his legs trembled and shook so badly that he couldnt. then it struck him as a very funny thing for jack to come to life especially as the expression on his pumpkin face was so droll and comical it excited laughter on the instant. so recovering from his first fear tip began to laugh; and the merry peals reached old mombis ears and made her hobble quickly to the hedge where she seized tips collar and dragged him back to where she had left her basket and the pumpkinheaded man.,"[13, 14]",the_marvelous_land_of_oz,True
28,How does one use the Powder of Life?,10,1,"“So he began by sprinkling some of the magic Powder of Life from the pepper-box upon the body of the saw-horse. Then he lifted his left hand, with the little finger pointing upward, and said: ‘Weaugh!’ ‘What does that mean, dear father?’ asked Jack, curiously. ‘I don’t know,’ answered Tip. Then he lifted his right hand, with the thumb pointing upward and said: ‘Teaugh!’ ‘What’s that, dear father?’ inquired Jack. ‘It means you must keep quiet!’ replied the boy, provoked at being interrupted at so important a moment. ‘How fast I am learning!’ remarked the Pumpkinhead, with his eternal smile. Tip now lifted both hands above his head, with all the fingers and thumbs spread out, and cried in a loud voice: ‘Peaugh!’ Immediately the saw-horse moved, stretched its legs, yawned with its chopped-out mouth, and shook a few grains of the powder off its back. The rest of the powder seemed to have vanished into the body of the horse. ‘Good!’ called Jack, while the boy looked on in astonishment. ‘You are a very clever sorcerer, dear father!’”",book2_the_marvelous_land_of_oz_pg54_images,37.0,4.0,Tip Makes An Experiment In Magic,4.0,"[37, 38, 39]",the_marvelous_land_of_oz,so he began by sprinkling some of the magic powder of life from the pepper box upon the body of the saw horse. then he lifted his left hand with the little finger pointing upward and said: weaugh! what does that mean dear father? asked jack curiously. i dont know answered tip. then he lifted his right hand with the thumb pointing upward and said: teaugh! whats that dear father? inquired jack. it means you must keep quiet! replied the boy provoked at being interrupted at so important a moment. how fast i am learning! remarked the pumpkinhead with his eternal smile. tip now lifted both hands above his head with all the fingers and thumbs spread out and cried in a loud voice: peaugh! immediately the saw horse moved stretched its legs yawned with its chopped out mouth and shook a few grains of the powder off its back. the rest of the powder seemed to have vanished into the body of the horse. good! called jack while the boy looked on in astonishment. you are a very clever sorcerer dear father!,"[13, 14]",the_marvelous_land_of_oz,False
29,How does one use the Powder of Life?,10,3,"““Now, then,” said Dr. Pipt, in a brisk tone, “we shall perform one of the greatest feats of magic possible to man, even in this marvelous Land of Oz. In no other country could it be done at all. I think we ought to have a little music while the Patchwork Girl comes to life. It is pleasant to reflect that the first sounds her golden ears will hear will be delicious music.” As he spoke he went to a phonograph, which was screwed fast to a small table, and wound up the spring of the instrument and adjusted the big gold horn. “The music my servant will usually hear,” remarked Margolotte, “will be my orders to do her work. But I see no harm in allowing her to listen to this unseen band while she wakens to her first realization of life. My orders will beat the band, afterward.” The phonograph was now playing a stirring march tune and the Magician unlocked his cabinet and took out the gold bottle containing the Powder of Life. They all bent over the bench on which the Patchwork Girl reclined. Unc Nunkie and Margolotte stood behind, near the windows, Ojo at one side and the Magician in front, where he would have freedom to sprinkle the powder. The Glass Cat came near, too, curious to watch the important scene. “All ready?” asked Dr. Pipt. “All is ready,” answered his wife. So the Magician leaned over and shook from the bottle some grains of the wonderful Powder, and they fell directly on the Patchwork Girl’s head and arms. “It will take a few minutes for this powder to do its work,” remarked the Magician, sprinkling the body up and down with much care. But suddenly the Patchwork Girl threw up one arm, which knocked the bottle of powder from the crooked man’s hand and sent it flying across the room.”",book7_the_patchwork_girl_of_oz_pg32094_images,45.0,4.0,The Glass Cat,8.0,"[45, 46, 47]",the_patchwork_girl_of_oz,now then said dr. pipt in a brisk tone we shall perform one of the greatest feats of magic possible to man even in this marvelous land of oz. in no other country could it be done at all. i think we ought to have a little music while the patchwork girl comes to life. it is pleasant to reflect that the first sounds her golden ears will hear will be delicious music. as he spoke he went to a phonograph which was screwed fast to a small table and wound up the spring of the instrument and adjusted the big gold horn. the music my servant will usually hear remarked margolotte will be my orders to do her work. but i see no harm in allowing her to listen to this unseen band while she wakens to her first realization of life. my orders will beat the band afterward. the phonograph was now playing a stirring march tune and the magician unlocked his cabinet and took out the gold bottle containing the powder of life. they all bent over the bench on which the patchwork girl reclined. unc nunkie and margolotte stood behind near the windows ojo at one side and the magician in front where he would have freedom to sprinkle the powder. the glass cat came near too curious to watch the important scene. all ready? asked dr. pipt. all is ready answered his wife. so the magician leaned over and shook from the bottle some grains of the wonderful powder and they fell directly on the patchwork girls head and arms. it will take a few minutes for this powder to do its work remarked the magician sprinkling the body up and down with much care. but suddenly the patchwork girl threw up one arm which knocked the bottle of powder from the crooked mans hand and sent it flying across the room.,"[13, 14]",the_marvelous_land_of_oz,False
30,What is the Tin Man's name?,11,1,"""THEY now made a more careful examination of the country around them. All was fresh and beautiful after the sultriness of the desert, and the sunshine and sweet, crisp air were delightful to the wanderers. Little mounds of yellowish green were away at the right, while on the left waved a group of tall leafy trees bearing yellow blossoms that looked like tassels and pompoms. Among the grasses carpeting the ground were pretty buttercups and cowslips and marigolds. After looking at these a moment Dorothy said reflectively:</p> <p>""We must be in the Country of the Winkies, for the color of that country is yellow, and you will notice that 'most everything here is yellow that has any color at all.""</p> <p>""But I thought this was the Land of Oz,"" replied the shaggy man, as if greatly disappointed.</p> <p>""So it is,"" she declared; ""but there are four parts to the Land of Oz. The North Country is purple, and it's the Country of the Gillikins. The East country is blue, and that's the Country of the Munchkins. Down at the South is the red Country of the Quadlings, and here, in the West, the yellow Country of the Winkies. This is the part that is ruled by the Tin Woodman, you know.""</p> <p>""Who's he?"" asked Button-Bright.</p> <p>""Why, he's the tin man I told you about. His name is Nick Chopper, and he has a lovely heart given him by the wonderful Wizard.""</p> <p>""Where does he live?"" asked the boy.</p> <p>""The Wizard? Oh, he lives in the Emerald City, which is just in the middle of Oz, where the corners of the four countries meet.""</p> <p>""Oh,"" said Button-Bright, puzzled by this explanation.</p> <p>""We must be some distance from the Emerald City,"" remarked the shaggy man.</p> <p>""That's true,"" she replied; ""so we'd better start on and see if we can find any of the Winkies. They're nice people,"" she continued, as the little party began walking toward the group of trees, ""and I came here once with my friends the Scarecrow, and the Tin Woodman, and the Cowardly Lion, to fight a wicked witch who had made all the Winkies her slaves.""</p> <p>""Did you conquer her?"" asked Polly.</p> <p>""Why, I melted her with a bucket of water, and that was the end of her,"" replied Dorothy. ""After that the people were free, you know, and they made Nick Chopper—that's the Tin Woodman—their Emp'ror.""</p> <p>""What's that?"" asked Button-Bright.</p> <p>""Emp'ror? Oh, it's something like an alderman, I guess.""</p> <p>""Oh,"" said the boy.</p> <p>""But I thought Princess Ozma ruled Oz,"" said the shaggy man.</p> <p>""So she does; she rules the Emerald City and all the four countries of Oz; but each country has another little ruler, not so big as Ozma. It's like the officers of an army, you see; the little rulers are all captains, and Ozma's the general.""""",book5_the_road_to_ozpg26624_images,152.0,13.0,The Truth Pond,0.0,"[152, 153, 154, 155]",the_road_to_oz,they now made a more careful examination of the country around them. all was fresh and beautiful after the sultriness of the desert and the sunshine and sweet crisp air were delightful to the wanderers. little mounds of yellowish green were away at the right while on the left waved a group of tall leafy trees bearing yellow blossoms that looked like tassels and pompoms. among the grasses carpeting the ground were pretty buttercups and cowslips and marigolds. after looking at these a moment dorothy said reflectively: we must be in the country of the winkies for the color of that country is yellow and you will notice that most everything here is yellow that has any color at all. but i thought this was the land of oz replied the shaggy man as if greatly disappointed. so it is she declared; but there are four parts to the land of oz. the north country is purple and its the country of the gillikins. the east country is blue and thats the country of the munchkins. down at the south is the red country of the quadlings and here in the west the yellow country of the winkies. this is the part that is ruled by the tin woodman you know. whos he? asked button bright. why hes the tin man i told you about. his name is nick chopper and he has a lovely heart given him by the wonderful wizard. where does he live? asked the boy. the wizard? oh he lives in the emerald city which is just in the middle of oz where the corners of the four countries meet. oh said button bright puzzled by this explanation. we must be some distance from the emerald city remarked the shaggy man. thats true she replied; so wed better start on and see if we can find any of the winkies. theyre nice people she continued as the little party began walking toward the group of trees and i came here once with my friends the scarecrow and the tin woodman and the cowardly lion to fight a wicked witch who had made all the winkies her slaves. did you conquer her? asked polly. why i melted her with a bucket of water and that was the end of her replied dorothy. after that the people were free you know and they made nick chopper thats the tin woodman their empror. whats that? asked button bright. empror? oh its something like an alderman i guess. oh said the boy. but i thought princess ozma ruled oz said the shaggy man. so she does; she rules the emerald city and all the four countries of oz; but each country has another little ruler not so big as ozma. its like the officers of an army you see; the little rulers are all captains and ozmas the general.,[116],the_marvelous_land_of_oz,False
31,What is the Tin Man's name?,11,2,"""""Then we may be able to lunch with the Tin Woodman,"" announced the Wizard, joyfully.</p> <p>""Must we lunch on tin?"" asked Aunt Em.</p> <p>""Oh, no;"" replied Dorothy. ""Nick Chopper knows how to feed meat people, and he will give us plenty of good things to eat, never fear. I've been to his castle before.""</p> <p>""Is Nick Chopper the Tin Woodman's name?"" asked Uncle Henry.</p> <p>""Yes; that's one of his names,"" answered the little girl; ""and another of his names is 'Emp'ror of the Winkies.' He's the King of this country, you know, but Ozma rules over all the countries of Oz.""</p> <p>""Does the Tin Woodman keep any Flutterbudgets or Rigmaroles at his castle?"" inquired Aunt Em, uneasily.</p> <p>""No, indeed,"" said Dorothy, positively. ""He lives in a new tin castle, all full of lovely things.""</p> <p>""I should think it would rust,"" said Uncle Henry.</p> <p>""He has thousands of Winkies to keep it polished for him,"" explained the Wizard. ""His people love to do anything in their power for their beloved Emperor, so there isn't a particle of rust on all the big castle.""</p> <p>""I suppose they polish their Emperor, too,"" said Aunt Em.</p> <p>""Why, some time ago he had himself nickel-plated,"" the Wizard answered; ""so he only needs rubbing up once in a while. He's the brightest man in all the world, is dear Nick Chopper; and the kindest-hearted.""</p> <p>""I helped find him,"" said Dorothy, reflectively. ""Once the Scarecrow and I found the Tin Woodman in the woods, and he was just rusted still, that time, an' no mistake. But we oiled his joints, an' got 'em good and slippery, and after that he went with us to visit the Wizard at the Em'rald City.""</p> <p>""Was that the time the Wizard scared you?"" asked Aunt Em.</p> <p>""He didn't treat us well, at first,"" acknowledged Dorothy; ""for he made us go away and destroy the Wicked Witch. But after we found out he was only a humbug wizard we were not afraid of him.""</p> <p>The Wizard sighed and looked a little ashamed.</p> <p>""When we try to deceive people we always make mistakes,"" he said. ""But I'm getting to be a real wizard now, and Glinda the Good's magic, that I am trying to practice, can never harm any one.""""",book6_the_emerald_city_of_oz_pg41667_images,310.0,23.0,How They Encountered The Flutterbudgets,9.0,"[310, 311, 312, 313]",the_emerald_city_of_oz,then we may be able to lunch with the tin woodman announced the wizard joyfully. must we lunch on tin? asked aunt em. oh no; replied dorothy. nick chopper knows how to feed meat people and he will give us plenty of good things to eat never fear. ive been to his castle before. is nick chopper the tin woodmans name? asked uncle henry. yes; thats one of his names answered the little girl; and another of his names is empror of the winkies. hes the king of this country you know but ozma rules over all the countries of oz. does the tin woodman keep any flutterbudgets or rigmaroles at his castle? inquired aunt em uneasily. no indeed said dorothy positively. he lives in a new tin castle all full of lovely things. i should think it would rust said uncle henry. he has thousands of winkies to keep it polished for him explained the wizard. his people love to do anything in their power for their beloved emperor so there isnt a particle of rust on all the big castle. i suppose they polish their emperor too said aunt em. why some time ago he had himself nickel plated the wizard answered; so he only needs rubbing up once in a while. hes the brightest man in all the world is dear nick chopper; and the kindest hearted. i helped find him said dorothy reflectively. once the scarecrow and i found the tin woodman in the woods and he was just rusted still that time an no mistake. but we oiled his joints an got em good and slippery and after that he went with us to visit the wizard at the emrald city. was that the time the wizard scared you? asked aunt em. he didnt treat us well at first acknowledged dorothy; for he made us go away and destroy the wicked witch. but after we found out he was only a humbug wizard we were not afraid of him. the wizard sighed and looked a little ashamed. when we try to deceive people we always make mistakes he said. but im getting to be a real wizard now and glinda the goods magic that i am trying to practice can never harm any one.,[116],the_marvelous_land_of_oz,False
