question,question_number,result_rank,excerpt,filename,model_chunk_index,model_chapter_number,model_chapter_title,model_chunk_in_chapter_index,all_model_chunks,model_filename,excerpt_cleaned,expected_all_chunk_indices,expected_book_filename,correct_match
How is Glinda's appearance first described?,7,3,"“But these soldiers of the great Sorceress were entirely different from those of Jinjur’s Army of Revolt, although they were likewise girls. For Glinda’s soldiers wore neat uniforms and bore swords and spears; and they marched with a skill and precision that proved them well trained in the arts of war. The Captain commanding this troop—which was Glinda’s private Body Guard—recognized the Scarecrow and the Tin Woodman at once, and greeted them with respectful salutations. “Good day!” said the Scarecrow, gallantly removing his hat, while the Woodman gave a soldierly salute; “we have come to request an audience with your fair Ruler.” “Glinda is now within her palace, awaiting you,” returned the Captain; “for she saw you coming long before you arrived.” “That is strange!” said Tip, wondering. “Not at all,” answered the Scarecrow, “for Glinda the Good is a mighty Sorceress, and nothing that goes on in the Land of Oz escapes her notice. I suppose she knows why we came as well as we do ourselves.” “Then what was the use of our coming?” asked Jack, stupidly. “To prove you are a Pumpkinhead!” retorted the Scarecrow. “But, if the Sorceress expects us, we must not keep her waiting.” So they all clambered out of the sofas and followed the Captain toward the palace—even the Saw-Horse taking his place in the queer procession. Upon her throne of finely wrought gold sat Glinda, and she could scarcely repress a smile as her peculiar visitors entered and bowed before her. Both the Scarecrow and the Tin Woodman she knew and liked; but the awkward Pumpkinhead and Highly Magnified Woggle-Bug were creatures she had never seen before, and they seemed even more curious than the others. As for the Saw-Horse, he looked to be nothing more than an animated chunk of wood; and he bowed so stiffly that his head bumped against the floor, causing a ripple of laughter among the soldiers, in which Glinda frankly joined.”",book2_the_marvelous_land_of_oz_pg54_images,268.0,20.0,The Scarecrow Appeals To Glinda The Good,7.0,"[268, 269, 270]",the_marvelous_land_of_oz,but these soldiers of the great sorceress were entirely different from those of jinjurs army of revolt although they were likewise girls. for glindas soldiers wore neat uniforms and bore swords and spears; and they marched with a skill and precision that proved them well trained in the arts of war. the captain commanding this troop which was glindas private body guard recognized the scarecrow and the tin woodman at once and greeted them with respectful salutations. good day! said the scarecrow gallantly removing his hat while the woodman gave a soldierly salute; we have come to request an audience with your fair ruler. glinda is now within her palace awaiting you returned the captain; for she saw you coming long before you arrived. that is strange! said tip wondering. not at all answered the scarecrow for glinda the good is a mighty sorceress and nothing that goes on in the land of oz escapes her notice. i suppose she knows why we came as well as we do ourselves. then what was the use of our coming? asked jack stupidly. to prove you are a pumpkinhead! retorted the scarecrow. but if the sorceress expects us we must not keep her waiting. so they all clambered out of the sofas and followed the captain toward the palace even the saw horse taking his place in the queer procession. upon her throne of finely wrought gold sat glinda and she could scarcely repress a smile as her peculiar visitors entered and bowed before her. both the scarecrow and the tin woodman she knew and liked; but the awkward pumpkinhead and highly magnified woggle bug were creatures she had never seen before and they seemed even more curious than the others. as for the saw horse he looked to be nothing more than an animated chunk of wood; and he bowed so stiffly that his head bumped against the floor causing a ripple of laughter among the soldiers in which glinda frankly joined.,[224],the_wonderful_wizard_of_oz,False
How is Glinda's appearance described when Dorothy meets her?,8,1,"“She was both beautiful and young to their eyes. Her hair was a rich red in color and fell in flowing ringlets over her shoulders. Her dress was pure white but her eyes were blue, and they looked kindly upon the little girl. “What can I do for you, my child?” she asked. Dorothy told the Witch all her story: how the cyclone had brought her to the Land of Oz, how she had found her companions, and of the wonderful adventures they had met with. “My greatest wish now,” she added, “is to get back to Kansas, for Aunt Em will surely think something dreadful has happened to me, and that will make her put on mourning; and unless the crops are better this year than they were last, I am sure Uncle Henry cannot afford it.” Glinda leaned forward and kissed the sweet, upturned face of the loving little girl. “Bless your dear heart,” she said, “I am sure I can tell you of a way to get back to Kansas.” Then she added, “But, if I do, you must give me the Golden Cap.” “Willingly!” exclaimed Dorothy; “indeed, it is of no use to me now, and when you have it you can command the Winged Monkeys three times.” “And I think I shall need their service just those three times,” answered Glinda, smiling. Dorothy then gave her the Golden Cap, and the Witch said to the Scarecrow, “What will you do when Dorothy has left us?””",book1_the_wonderful_wizard_of_oz_pg55_images,261.0,23.0,Glinda The Good Witch Grants Dorothy’s Wish,0.0,"[261, 262, 263]",the_wonderful_wizard_of_oz,she was both beautiful and young to their eyes. her hair was a rich red in color and fell in flowing ringlets over her shoulders. her dress was pure white but her eyes were blue and they looked kindly upon the little girl. what can i do for you my child? she asked. dorothy told the witch all her story: how the cyclone had brought her to the land of oz how she had found her companions and of the wonderful adventures they had met with. my greatest wish now she added is to get back to kansas for aunt em will surely think something dreadful has happened to me and that will make her put on mourning; and unless the crops are better this year than they were last i am sure uncle henry cannot afford it. glinda leaned forward and kissed the sweet upturned face of the loving little girl. bless your dear heart she said i am sure i can tell you of a way to get back to kansas. then she added but if i do you must give me the golden cap. willingly! exclaimed dorothy; indeed it is of no use to me now and when you have it you can command the winged monkeys three times. and i think i shall need their service just those three times answered glinda smiling. dorothy then gave her the golden cap and the witch said to the scarecrow what will you do when dorothy has left us?,[261],the_wonderful_wizard_of_oz,True
How is Glinda's appearance described when Dorothy meets her?,8,2,"“The Monkeys had set them down near a farmhouse, and the four travelers walked up to it and knocked at the door. It was opened by the farmer’s wife, and when Dorothy asked for something to eat the woman gave them all a good dinner, with three kinds of cake and four kinds of cookies, and a bowl of milk for Toto. “How far is it to the Castle of Glinda?” asked the child. “It is not a great way,” answered the farmer’s wife. “Take the road to the South and you will soon reach it.” Thanking the good woman, they started afresh and walked by the fields and across the pretty bridges until they saw before them a very beautiful Castle. Before the gates were three young girls, dressed in handsome red uniforms trimmed with gold braid; and as Dorothy approached, one of them said to her: “Why have you come to the South Country?” “To see the Good Witch who rules here,” she answered. “Will you take me to her?” “Let me have your name, and I will ask Glinda if she will receive you.” They told who they were, and the girl soldier went into the Castle. After a few moments she came back to say that Dorothy and the others were to be admitted at once. Before they went to see Glinda, however, they were taken to a room of the Castle, where Dorothy washed her face and combed her hair, and the Lion shook the dust out of his mane, and the Scarecrow patted himself into his best shape, and the Woodman polished his tin and oiled his joints.”",book1_the_wonderful_wizard_of_oz_pg55_images,259.0,22.0,The Country Of The Quadlings,5.0,"[259, 260, 261]",the_wonderful_wizard_of_oz,the monkeys had set them down near a farmhouse and the four travelers walked up to it and knocked at the door. it was opened by the farmers wife and when dorothy asked for something to eat the woman gave them all a good dinner with three kinds of cake and four kinds of cookies and a bowl of milk for toto. how far is it to the castle of glinda? asked the child. it is not a great way answered the farmers wife. take the road to the south and you will soon reach it. thanking the good woman they started afresh and walked by the fields and across the pretty bridges until they saw before them a very beautiful castle. before the gates were three young girls dressed in handsome red uniforms trimmed with gold braid; and as dorothy approached one of them said to her: why have you come to the south country? to see the good witch who rules here she answered. will you take me to her? let me have your name and i will ask glinda if she will receive you. they told who they were and the girl soldier went into the castle. after a few moments she came back to say that dorothy and the others were to be admitted at once. before they went to see glinda however they were taken to a room of the castle where dorothy washed her face and combed her hair and the lion shook the dust out of his mane and the scarecrow patted himself into his best shape and the woodman polished his tin and oiled his joints.,[261],the_wonderful_wizard_of_oz,True
How is Glinda's appearance described when Dorothy meets her?,8,3,"“Next came a tall, beautiful woman clothed in a splendid trailing gown, trimmed with exquisite lace as fine as cobweb. This was the important Sorceress known as Glinda the Good, who had been of great assistance to both Ozma and Dorothy. There was no humbug about her magic, you may be sure, and Glinda was as kind as she was powerful. She greeted Dorothy most lovingly, and kissed Button-Bright and Polly, and smiled upon the shaggy man, after which Jellia Jamb led the Sorceress to one of the most magnificent rooms of the royal palace and appointed fifty servants to wait upon her. The next arrival was Mr. H. M. Woggle-Bug, T. E.; the “H. M.” meaning Highly Magnified and the “T. E.” meaning Thoroughly Educated. The Woggle-Bug was head professor at the Royal College of Oz, and he had composed a fine Ode in honor of Ozma’s birthday. This he wanted to read to them; but the Scarecrow wouldn’t let him. Soon they heard a clucking sound and a chorus of “cheep! cheep!” and a servant threw open the door to allow Billina and her ten fluffy chicks to enter the Throne-Room. As the Yellow Hen marched proudly at the head of her family, Dorothy cried, “Oh, you lovely things!” and ran down from her seat to pet the little yellow downy balls.”",book5_the_road_to_ozpg26624_images,235.0,21.0,Dorothy Receives The Guests,6.0,"[235, 236]",the_road_to_oz,next came a tall beautiful woman clothed in a splendid trailing gown trimmed with exquisite lace as fine as cobweb. this was the important sorceress known as glinda the good who had been of great assistance to both ozma and dorothy. there was no humbug about her magic you may be sure and glinda was as kind as she was powerful. she greeted dorothy most lovingly and kissed button bright and polly and smiled upon the shaggy man after which jellia jamb led the sorceress to one of the most magnificent rooms of the royal palace and appointed fifty servants to wait upon her. the next arrival was mr. h. m. woggle bug t. e.; the h. m. meaning highly magnified and the t. e. meaning thoroughly educated. the woggle bug was head professor at the royal college of oz and he had composed a fine ode in honor of ozmas birthday. this he wanted to read to them; but the scarecrow wouldnt let him. soon they heard a clucking sound and a chorus of cheep! cheep! and a servant threw open the door to allow billina and her ten fluffy chicks to enter the throne room. as the yellow hen marched proudly at the head of her family dorothy cried oh you lovely things! and ran down from her seat to pet the little yellow downy balls.,[261],the_wonderful_wizard_of_oz,False
What is Jack Pumpkinhead made of?,9,1,"""The body of this remarkable person was made of wood, branches of trees of various sizes having been used for the purpose. This wooden framework was covered by a red shirt—with white spots in it—blue trousers, a yellow vest, a jacket of green-and-gold and stout leather shoes. The neck was a sharpened stick on which the pumpkin head was set, and the eyes, ears, nose and mouth were carved on the skin of the pumpkin, very like a child's jack-o'-lantern. The house of this interesting creation stood in the center of a vast pumpkin-field, where the vines grew in profusion and bore pumpkins of extraordinary size as well as those which were smaller. Some of the pumpkins now ripening on the vines were almost as large as Jack's house, and he told Dorothy he intended to add another pumpkin to his mansion. The travelers were cordially welcomed to this quaint domicile and invited to pass the night there, which they had planned to do. The Patchwork Girl was greatly interested in Jack and examined him admiringly.""</p> <p>""You are quite handsome,"" she said; ""but not as really beautiful as the Scarecrow.""</p> <p>Jack turned, at this, to examine the Scarecrow critically, and his old friend slyly winked one painted eye at him.""</p>",book7_the_patchwork_girl_of_oz_pg32094_images,279.0,19.0,Trouble With The Tottenhots,1.0,"[279, 280]",the_patchwork_girl_of_oz,the body of this remarkable person was made of wood branches of trees of various sizes having been used for the purpose. this wooden framework was covered by a red shirt with white spots in it blue trousers a yellow vest a jacket of green and gold and stout leather shoes. the neck was a sharpened stick on which the pumpkin head was set and the eyes ears nose and mouth were carved on the skin of the pumpkin very like a childs jack o lantern. the house of this interesting creation stood in the center of a vast pumpkin field where the vines grew in profusion and bore pumpkins of extraordinary size as well as those which were smaller. some of the pumpkins now ripening on the vines were almost as large as jacks house and he told dorothy he intended to add another pumpkin to his mansion. the travelers were cordially welcomed to this quaint domicile and invited to pass the night there which they had planned to do. the patchwork girl was greatly interested in jack and examined him admiringly. you are quite handsome she said; but not as really beautiful as the scarecrow. jack turned at this to examine the scarecrow critically and his old friend slyly winked one painted eye at him.,[6],the_marvelous_land_of_oz,False
What is Jack Pumpkinhead made of?,9,2,"""“So am I,” answered the man.</p> <p> Tip looked at him in surprise.</p> <p> “Why, so you are!” he exclaimed. “And surely you have as much right to be alive as I have!”</p> <p> Having decided this, Tip seized the axe and chopped several branches from the gnarled trees that were thickly clustered around them. These he shaped and trimmed into the legs and arms of the Pumpkinhead, and fitted them together with pegs and joints. When he had joined the legs to the body, Tip balanced the figure upon its feet, and found that it stood very well. It lacked a little in grace, perhaps; but that was owing to the fact that Jack was not quite straight. Tip next took four small branches and fastened them to the body in the right places, and these became “hands.” The fingers were not very slender, for the knobby branches were not shaped like those of human beings; but Jack was so pleased with them that he declared they were beauties. Tip then fastened some joints to the figure, and sharpened the ends of the legs so they could be pushed into the ground like pegs. He was anxious for his work to look as well as possible.""</p>",book2_the_marvelous_land_of_oz_pg54_images,,,,,[],,so am i answered the man. tip looked at him in surprise. why so you are! he exclaimed. and surely you have as much right to be alive as i have! having decided this tip seized the axe and chopped several branches from the gnarled trees that were thickly clustered around them. these he shaped and trimmed into the legs and arms of the pumpkinhead and fitted them together with pegs and joints. when he had joined the legs to the body tip balanced the figure upon its feet and found that it stood very well. it lacked a little in grace perhaps; but that was owing to the fact that jack was not quite straight. tip next took four small branches and fastened them to the body in the right places and these became hands. the fingers were not very slender for the knobby branches were not shaped like those of human beings; but jack was so pleased with them that he declared they were beauties. tip then fastened some joints to the figure and sharpened the ends of the legs so they could be pushed into the ground like pegs. he was anxious for his work to look as well as possible.,[6],the_marvelous_land_of_oz,False
What is Jack Pumpkinhead made of?,9,3,"""“In the country of the Gillikins lives a boy named Tip, who has been bewitched by old Mombi. Tip makes Jack Pumpkinhead from a pumpkin, a frame of sticks and some old clothes; Jack is brought to life through one of the witch's mysterious possessions, and then Tip and Jack run away. Soon they meet the Animated Saw-Horse, on whom they ride, and then the Scarecrow and the Tin Woodman. The title page of this book says that it is ""an account of the further adventures of the Scarecrow and the Tin Woodman, and also the experiences of the Highly Magnified Woggle-Bug, Jack Pumpkinhead, the Animated Saw-Horse and the Gump."" Also in this book Mr. Baum first presents Princess Ozma of Oz, Mombi, the witch; General Jinjur, and Dr. Nikidik, inventor of the famous wishing pills.”</p>",book7_the_patchwork_girl_of_oz_pg32094_images,,,,,[],,in the country of the gillikins lives a boy named tip who has been bewitched by old mombi. tip makes jack pumpkinhead from a pumpkin a frame of sticks and some old clothes; jack is brought to life through one of the witchs mysterious possessions and then tip and jack run away. soon they meet the animated saw horse on whom they ride and then the scarecrow and the tin woodman. the title page of this book says that it is an account of the further adventures of the scarecrow and the tin woodman and also the experiences of the highly magnified woggle bug jack pumpkinhead the animated saw horse and the gump. also in this book mr. baum first presents princess ozma of oz mombi the witch; general jinjur and dr. nikidik inventor of the famous wishing pills.,[6],the_marvelous_land_of_oz,False
How does one use the Powder of Life?,10,1,"“So he began by sprinkling some of the magic Powder of Life from the pepper-box upon the body of the saw-horse. Then he lifted his left hand, with the little finger pointing upward, and said: ‘Weaugh!’ ‘What does that mean, dear father?’ asked Jack, curiously. ‘I don’t know,’ answered Tip. Then he lifted his right hand, with the thumb pointing upward and said: ‘Teaugh!’ ‘What’s that, dear father?’ inquired Jack. ‘It means you must keep quiet!’ replied the boy, provoked at being interrupted at so important a moment. ‘How fast I am learning!’ remarked the Pumpkinhead, with his eternal smile. Tip now lifted both hands above his head, with all the fingers and thumbs spread out, and cried in a loud voice: ‘Peaugh!’ Immediately the saw-horse moved, stretched its legs, yawned with its chopped-out mouth, and shook a few grains of the powder off its back. The rest of the powder seemed to have vanished into the body of the horse. ‘Good!’ called Jack, while the boy looked on in astonishment. ‘You are a very clever sorcerer, dear father!’”",book2_the_marvelous_land_of_oz_pg54_images,39.0,4.0,Tip Makes An Experiment In Magic,4.0,"[39, 40, 41]",the_marvelous_land_of_oz,so he began by sprinkling some of the magic powder of life from the pepper box upon the body of the saw horse. then he lifted his left hand with the little finger pointing upward and said: weaugh! what does that mean dear father? asked jack curiously. i dont know answered tip. then he lifted his right hand with the thumb pointing upward and said: teaugh! whats that dear father? inquired jack. it means you must keep quiet! replied the boy provoked at being interrupted at so important a moment. how fast i am learning! remarked the pumpkinhead with his eternal smile. tip now lifted both hands above his head with all the fingers and thumbs spread out and cried in a loud voice: peaugh! immediately the saw horse moved stretched its legs yawned with its chopped out mouth and shook a few grains of the powder off its back. the rest of the powder seemed to have vanished into the body of the horse. good! called jack while the boy looked on in astonishment. you are a very clever sorcerer dear father!,"[14, 15]",the_marvelous_land_of_oz,False
How does one use the Powder of Life?,10,2,"“Tip took the pepper-box from his pocket. ‘The Thing looks very big,’ said he, anxiously; ‘and I am not sure there is enough powder left to bring all of it to life. But I’ll make it go as far as possible.’ ‘Put most on the wings,’ said Nick Chopper; ‘for they must be made as strong as possible.’ ‘And don’t forget the head!’ exclaimed the Woggle-Bug. ‘Or the tail!’ added Jack Pumpkinhead. ‘Do be quiet,’ said Tip, nervously; ‘you must give me a chance to work the magic charm in the proper manner.’ Very carefully he began sprinkling the Thing with the precious powder. Each of the four wings was first lightly covered with a layer, then the sofas were sprinkled, and the broom given a slight coating. ‘The head! The head! Don’t, I beg of you, forget the head!’ cried the Woggle-Bug, excitedly. ‘There’s only a little of the powder left,’ announced Tip, looking within the box. ‘And it seems to me it is more important to bring the legs of the sofas to life than the head.’ ‘Not so,’ decided the Scarecrow. ‘Every thing must have a head to direct it; and since this creature is to fly, and not walk, it is really unimportant whether its legs are alive or not.’ So Tip abided by this decision and sprinkled the Gump’s head with the remainder of the powder. ‘Now’ said he, ‘keep silence while I work the, charm!’ Having heard old Mombi pronounce the magic words, and having also succeeded in bringing the Saw-Horse to life, Tip did not hesitate an instant in speaking the three cabalistic words, each accompanied by the peculiar gesture of the hands.”",book2_the_marvelous_land_of_oz_pg54_images,215.0,17.0,The Astonishing Flight Of The Gump,6.0,"[215, 216, 217]",the_marvelous_land_of_oz,tip took the pepper box from his pocket. the thing looks very big said he anxiously; and i am not sure there is enough powder left to bring all of it to life. but ill make it go as far as possible. put most on the wings said nick chopper; for they must be made as strong as possible. and dont forget the head! exclaimed the woggle bug. or the tail! added jack pumpkinhead. do be quiet said tip nervously; you must give me a chance to work the magic charm in the proper manner. very carefully he began sprinkling the thing with the precious powder. each of the four wings was first lightly covered with a layer then the sofas were sprinkled and the broom given a slight coating. the head! the head! dont i beg of you forget the head! cried the woggle bug excitedly. theres only a little of the powder left announced tip looking within the box. and it seems to me it is more important to bring the legs of the sofas to life than the head. not so decided the scarecrow. every thing must have a head to direct it; and since this creature is to fly and not walk it is really unimportant whether its legs are alive or not. so tip abided by this decision and sprinkled the gumps head with the remainder of the powder. now said he keep silence while i work the charm! having heard old mombi pronounce the magic words and having also succeeded in bringing the saw horse to life tip did not hesitate an instant in speaking the three cabalistic words each accompanied by the peculiar gesture of the hands.,"[14, 15]",the_marvelous_land_of_oz,False
How does one use the Powder of Life?,10,3,"“‘It was called the Powder of Life,’ was the answer; ‘and it was invented by a crooked Sorcerer who lived in the mountains of the North Country. A Witch named Mombi got some of this powder from the crooked Sorcerer and took it home with her. Ozma lived with the Witch then, for it was before she became our Princess, while Mombi had transformed her into the shape of a boy. Well, while Mombi was gone to the crooked Sorcerer’s, the boy made this pumpkin-headed man to amuse himself, and also with the hope of frightening the Witch with it when she returned. But Mombi was not scared, and she sprinkled the Pumpkinhead with her Magic Powder of Life, to see if the Powder would work. Ozma was watching, and saw the Pumpkinhead come to life; so that night she took the pepper-box containing the Powder and ran away with it and with Jack, in search of adventures.’ ‘Next day they found a wooden Saw-Horse standing by the roadside, and sprinkled it with the Powder. It came to life at once, and Jack Pumpkinhead rode the Saw-Horse to the Emerald City.’ ‘What became of the Saw-Horse, afterward?’ asked the shaggy man, much interested in this story.”",book5_the_road_to_ozpg26624_images,193.0,17.0,The Royal Chariot Arrives,2.0,"[193, 194]",the_road_to_oz,it was called the powder of life was the answer; and it was invented by a crooked sorcerer who lived in the mountains of the north country. a witch named mombi got some of this powder from the crooked sorcerer and took it home with her. ozma lived with the witch then for it was before she became our princess while mombi had transformed her into the shape of a boy. well while mombi was gone to the crooked sorcerers the boy made this pumpkin headed man to amuse himself and also with the hope of frightening the witch with it when she returned. but mombi was not scared and she sprinkled the pumpkinhead with her magic powder of life to see if the powder would work. ozma was watching and saw the pumpkinhead come to life; so that night she took the pepper box containing the powder and ran away with it and with jack in search of adventures. next day they found a wooden saw horse standing by the roadside and sprinkled it with the powder. it came to life at once and jack pumpkinhead rode the saw horse to the emerald city. what became of the saw horse afterward? asked the shaggy man much interested in this story.,"[14, 15]",the_marvelous_land_of_oz,False
What is the Tin Man's name?,11,1,"""THEY now made a more careful examination of the country around them. All was fresh and beautiful after the sultriness of the desert, and the sunshine and sweet, crisp air were delightful to the wanderers. Little mounds of yellowish green were away at the right, while on the left waved a group of tall leafy trees bearing yellow blossoms that looked like tassels and pompoms. Among the grasses carpeting the ground were pretty buttercups and cowslips and marigolds. After looking at these a moment Dorothy said reflectively:</p> <p>""We must be in the Country of the Winkies, for the color of that country is yellow, and you will notice that 'most everything here is yellow that has any color at all.""</p> <p>""But I thought this was the Land of Oz,"" replied the shaggy man, as if greatly disappointed.</p> <p>""So it is,"" she declared; ""but there are four parts to the Land of Oz. The North Country is purple, and it's the Country of the Gillikins. The East country is blue, and that's the Country of the Munchkins. Down at the South is the red Country of the Quadlings, and here, in the West, the yellow Country of the Winkies. This is the part that is ruled by the Tin Woodman, you know.""</p> <p>""Who's he?"" asked Button-Bright.</p> <p>""Why, he's the tin man I told you about. His name is Nick Chopper, and he has a lovely heart given him by the wonderful Wizard.""</p> <p>""Where does he live?"" asked the boy.</p> <p>""The Wizard? Oh, he lives in the Emerald City, which is just in the middle of Oz, where the corners of the four countries meet.""</p> <p>""Oh,"" said Button-Bright, puzzled by this explanation.</p> <p>""We must be some distance from the Emerald City,"" remarked the shaggy man.</p> <p>""That's true,"" she replied; ""so we'd better start on and see if we can find any of the Winkies. They're nice people,"" she continued, as the little party began walking toward the group of trees, ""and I came here once with my friends the Scarecrow, and the Tin Woodman, and the Cowardly Lion, to fight a wicked witch who had made all the Winkies her slaves.""</p> <p class=""img""><img alt="""" src=""images/i145.png"" id=""img_images_i145.png"" style=""width: 550px; height: 354px; ""></p> <p>""Did you conquer her?"" asked Polly.</p> <p>""Why, I melted her with a bucket of water, and that was the end of her,"" replied Dorothy. ""After that the people were free, you know, and they made Nick Chopper—that's the Tin Woodman—their Emp'ror.""</p> <p>""What's that?"" asked Button-Bright.</p> <p>""Emp'ror? Oh, it's something like an alderman, I guess.""</p> <p>""Oh,"" said the boy.</p> <p>""But I thought Princess Ozma ruled Oz,"" said the shaggy man.</p> <p>""So she does; she rules the Emerald City and all the four countries of Oz; but each country has another little ruler, not so big as Ozma. It's like the officers of an army, you see; the little rulers are all captains, and Ozma's the general.""</p> <p>By this time they had reached the trees, which stood in a perfect circle and just far enough apart so that their thick branches touched—or ""shook hands,"" as Button-Bright remarked. Under the shade of the trees they found, in the center of the circle, a crystal pool, its water as still as glass. It must have been deep, too, for when Polychrome bent over it she gave a little sigh of pleasure.</p> <p>""Why, it's a mirror!"" she cried; for she could see all her pretty face and fluffy, rainbow-tinted gown reflected in the pool, as natural as life.</p> <p>Dorothy bent over, too, and began to arrange her hair, blown by the desert wind into straggling tangles. Button-Bright leaned over the edge next, and then began to cry, for the sight of his fox head frightened the poor little fellow.</p> <p>""I guess I won't look,"" remarked the shaggy man, sadly, for he didn't like his donkey head, either.""</p>",book5_the_road_to_ozpg26624_images,154.0,13.0,The Truth Pond,0.0,"[154, 155, 156, 157, 158]",the_road_to_oz,they now made a more careful examination of the country around them. all was fresh and beautiful after the sultriness of the desert and the sunshine and sweet crisp air were delightful to the wanderers. little mounds of yellowish green were away at the right while on the left waved a group of tall leafy trees bearing yellow blossoms that looked like tassels and pompoms. among the grasses carpeting the ground were pretty buttercups and cowslips and marigolds. after looking at these a moment dorothy said reflectively: we must be in the country of the winkies for the color of that country is yellow and you will notice that most everything here is yellow that has any color at all. but i thought this was the land of oz replied the shaggy man as if greatly disappointed. so it is she declared; but there are four parts to the land of oz. the north country is purple and its the country of the gillikins. the east country is blue and thats the country of the munchkins. down at the south is the red country of the quadlings and here in the west the yellow country of the winkies. this is the part that is ruled by the tin woodman you know. whos he? asked button bright. why hes the tin man i told you about. his name is nick chopper and he has a lovely heart given him by the wonderful wizard. where does he live? asked the boy. the wizard? oh he lives in the emerald city which is just in the middle of oz where the corners of the four countries meet. oh said button bright puzzled by this explanation. we must be some distance from the emerald city remarked the shaggy man. thats true she replied; so wed better start on and see if we can find any of the winkies. theyre nice people she continued as the little party began walking toward the group of trees and i came here once with my friends the scarecrow and the tin woodman and the cowardly lion to fight a wicked witch who had made all the winkies her slaves. did you conquer her? asked polly. why i melted her with a bucket of water and that was the end of her replied dorothy. after that the people were free you know and they made nick chopper thats the tin woodman their empror. whats that? asked button bright. empror? oh its something like an alderman i guess. oh said the boy. but i thought princess ozma ruled oz said the shaggy man. so she does; she rules the emerald city and all the four countries of oz; but each country has another little ruler not so big as ozma. its like the officers of an army you see; the little rulers are all captains and ozmas the general. by this time they had reached the trees which stood in a perfect circle and just far enough apart so that their thick branches touched or shook hands as button bright remarked. under the shade of the trees they found in the center of the circle a crystal pool its water as still as glass. it must have been deep too for when polychrome bent over it she gave a little sigh of pleasure. why its a mirror! she cried; for she could see all her pretty face and fluffy rainbow tinted gown reflected in the pool as natural as life. dorothy bent over too and began to arrange her hair blown by the desert wind into straggling tangles. button bright leaned over the edge next and then began to cry for the sight of his fox head frightened the poor little fellow. i guess i wont look remarked the shaggy man sadly for he didnt like his donkey head either.,[122],the_marvelous_land_of_oz,False
